LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,1stFlrSF,2ndFlrSF,LivingArea,GarageArea,TotalBsmtSF,BedroomAbvGr,BathroomAbvGr,GarageYrBlt,GarageCars,Fireplaces,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,HeatingQC,CentralAir,Electrical,KitchenQual,LotSlope,LandContour,Foundation,RoofMatl,HouseAge,SalePrice
81339.22339768136,1924,1993,201.60324458239086,1887.5936230545794,1996.1480582875108,2165.821626113984,892.8984837822109,4682.475901867263,91.08558174542279,1782.0350877607252,3,0,1997,0,0,9,8,3,3,0,1,2,1,2,2,2,0,1,0,5,376309.30873452895
204467.64727979907,1919,1958,314.27074539522783,2931.000837273159,1595.898115728215,4234.845926670692,1711.1976513968714,758.0756947965434,275.16840218826786,753.0918378998874,5,2,1911,1,0,7,3,3,4,4,1,2,0,4,4,0,1,0,3,65,220489.0074555302
157727.10536509726,1940,1986,1522.311721060947,1115.0055316493313,122.24955465434839,4616.399209288975,1699.2638610260817,4874.919447526143,930.4202951654885,4923.2170168377725,2,2,1921,4,1,1,9,3,4,3,0,2,1,4,4,1,0,0,1,75,230047.31971203903
129233.31807290672,1976,1959,280.7866038101718,4544.404298701967,1828.7343716168318,3110.253238168809,390.0169356652943,821.78445674528,1212.284580932699,56.47054209038755,5,3,1908,2,2,7,6,3,3,2,0,1,0,4,1,0,1,1,3,39,343582.61548442335
34641.18346254868,1961,1985,908.3637086896873,1048.5251323195068,1975.1132541235493,1038.4170695132511,1447.8564363070864,4763.282972645124,358.29971213439694,1909.4083421795872,1,0,1983,3,2,5,7,2,3,2,4,3,1,3,3,0,0,3,2,6,313293.3263169471
34636.02899584651,1934,1986,926.9031466591006,479.54974013614844,1866.6558925232857,4281.691641616974,600.1777316179868,2249.064832925881,463.9576970653985,1065.6484190522958,3,2,1928,3,2,7,9,2,2,4,2,2,0,1,4,0,3,3,0,21,382114.51185297174
13712.467920344225,1944,1977,783.3991392803916,2462.1725727597964,1187.807026479549,2583.8080135058635,614.3223635348598,3583.6057077693013,761.6372210705972,3599.0279271169607,2,2,1943,3,2,9,7,1,4,3,1,2,1,1,3,3,2,3,1,71,392051.8490827571
186401.84235210365,1960,1977,1031.5923977229097,3715.487188572213,544.0586950851891,1004.0395021445171,611.9587787583993,1145.5248098595744,300.0102396018307,1553.482179974863,5,3,1992,0,3,8,9,3,1,3,3,3,0,3,2,1,0,1,1,105,319115.20309481805
129758.27800952372,1884,1991,367.7227612761895,2470.4737599249074,1974.6908232088656,4350.884825470341,1498.298431211293,685.22357491726,1150.219578931083,1582.4805571666889,6,2,2008,2,0,6,1,2,1,0,1,2,1,3,2,0,2,3,1,129,255817.18609032544
152615.10987501492,1944,1992,884.2596284427972,1562.0003207331858,1698.6523235529635,3635.0501230512828,474.59077630158697,1480.199986938877,1097.0167626181687,2983.7460598113976,2,1,1926,0,0,2,1,4,3,3,4,4,1,2,3,0,1,0,2,29,126046.78242340617
